Date,AwayTeam,AwayScore,HomeTeam,HomeScore,IsNeutralSite
2018-May-26 7:25 PM,Essendon,95,GWS Giants,60,FALSE
2018-May-27 1:10 PM,West Coast,75,Hawthorn,60,FALSE
2018-May-27 3:20 PM,Adelaide,55,Melbourne,146,FALSE
2018-May-27 4:40 PM,North Melbourne,86,Fremantle,58,FALSE
2018-Jun-1 7:50 PM,Carlton,61,Sydney,91,FALSE
2018-Jun-2 1:45 PM,Melbourne,100,Western Bulldogs,51,FALSE
2018-Jun-2 2:10 PM,Port Adelaide,61,Hawthorn,64,FALSE
2018-Jun-2 4:35 PM,Geelong,121,Gold Coast,36,FALSE
2018-Jun-2 7:25 PM,Richmond,114,Essendon,43,FALSE
2018-Jun-2 8:10 PM,St Kilda,88,West Coast,101,FALSE
2018-Jun-3 1:10 PM,Brisbane Lions,87,North Melbourne,141,FALSE
2018-Jun-3 3:20 PM,Fremantle,77,Collingwood,138,FALSE
2018-Jun-3 4:40 PM,GWS Giants,97,Adelaide,81,FALSE
2018-Jun-8 7:50 PM,Richmond,58,Port Adelaide,72,FALSE
2018-Jun-9 1:45 PM,North Melbourne,59,Geelong,96,FALSE
2018-Jun-9 4:35 PM,Gold Coast,26,GWS Giants,134,FALSE
2018-Jun-9 7:25 PM,Sydney,126,St Kilda,55,FALSE
2018-Jun-10 1:10 PM,Essendon,84,Brisbane Lions,62,FALSE
2018-Jun-10 4:40 PM,Adelaide,68,Fremantle,71,FALSE
2018-Jun-11 3:20 PM,Collingwood,133,Melbourne,91,FALSE
2018-Jun-14 7:50 PM,Western Bulldogs,75,Port Adelaide,132,FALSE
2018-Jun-15 7:50 PM,West Coast,57,Sydney,72,FALSE
2018-Jun-16 1:45 PM,Fremantle,103,Carlton,46,FALSE
2018-Jun-16 4:35 PM,St Kilda,80,Gold Coast,78,FALSE
2018-Jun-16 7:25 PM,Adelaide,32,Hawthorn,88,FALSE
2018-Jun-17 3:20 PM,Richmond,83,Geelong,65,FALSE
2018-Jun-21 8:10 PM,Essendon,80,West Coast,52,FALSE
2018-Jun-22 7:50 PM,Melbourne,65,Port Adelaide,75,FALSE
2018-Jun-23 1:45 PM,Gold Coast,43,Hawthorn,96,FALSE
2018-Jun-23 4:35 PM,GWS Giants,109,Brisbane Lions,82,FALSE
2018-Jun-23 7:25 PM,North Melbourne,77,Western Bulldogs,75,FALSE
2018-Jun-24 3:20 PM,Carlton,59,Collingwood,79,FALSE
2018-Jun-28 7:20 PM,Sydney,67,Richmond,93,FALSE
2018-Jun-29 7:50 PM,Geelong,101,Western Bulldogs,103,FALSE
2018-Jun-30 1:45 PM,Port Adelaide,90,Carlton,69,FALSE
2018-Jun-30 4:35 PM,West Coast,78,Adelaide,88,FALSE
2018-Jun-30 7:25 PM,Collingwood,99,Gold Coast,60,FALSE
2018-Jun-30 7:25 PM,Hawthorn,84,GWS Giants,95,FALSE
2018-Jul-1 1:10 PM,St Kilda,119,Melbourne,117,FALSE
2018-Jul-1 3:20 PM,North Melbourne,108,Essendon,125,FALSE
